ROTATION,VOL_GR_1,E,N
271.11194,4,2685015.342,1245821.077
34.14941,2,2685022.164,1249907.402
32.67439,2,2685015.181,1250229.322
256.32515,2,2685125.069,1252158.213
248.78796,3,2685356.889,1247735.945
254.48802,2,2685389.495,1252507.147
229.34543,2,2685503.851,1247532.255
224.46504,2,2685616.881,1248274.545
45.34306,2,2685529.864,1249615.275
46.48592,3,2685595.23,1249776.821
45.52716,3,2685738.707,1249646.609
239.70093,2,2685948.655,1247466.598
31.95026,3,2686026.836,1250061.551
32.24908,3,2686331.349,1248988.129
24.60783,3,2686129.898,1250373.178
3.84079,3,2686204.538,1250579.322
19.6954,3,2686376.785,1250468.566
28.40877,3,2686578.058,1250093.895
224.36154,2,2687031.348,1245552.497
335.87415,1,2686855.333,1247325.056
355.81065,2,2687061.073,1248008.276
13.09547,2,2686860.315,1248920.514
17.12507,2,2687100.163,1248270.642
229.55028,2,2687671.399,1246316.533
161.67763,2,2687401.719,1246777.723
