ARPS,ABC,FIRST_STAT,BFSNR,NBC,GEMEINDE,STAND,BCLAB,SHAPE.AREA,SHAPE.LEN
1,B,,261,1,Zürich,2019,Ueberbaut,2534.200857665,254.107669771713
1,B,,261,1,Zürich,2019,Ueberbaut,13279.9974035,492.515082190251
1,B,,261,1,Zürich,2019,Ueberbaut,7630.81420567,364.323176814217
1,B,,261,1,Zürich,2019,Ueberbaut,296461.843586675,5467.27432689303
1,TR,,261,11,Zürich,2019,Technischer Rest,3909113.53864013,16409.8337543012
1,TR,,261,11,Zürich,2019,Technischer Rest,938.49366435,135.047206079919
1,B,,261,1,Zürich,2019,Ueberbaut,7066.57739826,423.641849990165
1,S,,261,2,Zürich,2019,Sofort baureif,729.28575524,108.571686274762
1,B,,261,1,Zürich,2019,Ueberbaut,1618.321793305,175.46685190556
1,S,,261,2,Zürich,2019,Sofort baureif,748.72920245,122.365959554874
1,TR,,261,11,Zürich,2019,Technischer Rest,623.3450455,104.964006122879
1,TR,,261,11,Zürich,2019,Technischer Rest,6569.97649457,456.864784770304
1,TR,,261,11,Zürich,2019,Technischer Rest,2319.693576,195.359962552693
1,TR,,261,11,Zürich,2019,Technischer Rest,32639.66935079,1700.2657672668
1,S,,261,2,Zürich,2019,Sofort baureif,1203.84291269,152.886271628321
1,S,,261,2,Zürich,2019,Sofort baureif,787.425232425,118.845711567938
1,B,,261,1,Zürich,2019,Ueberbaut,7493.59781121,356.98053745311
1,B,,261,1,Zürich,2019,Ueberbaut,3266.91952967,246.154732190133
1,S,,261,2,Zürich,2019,Sofort baureif,1185.359952115,153.403841285085
1,5J,,261,3,Zürich,2019,Baureif in 5 Jahren,130.551407835,57.0162804938418
1,TR,,261,11,Zürich,2019,Technischer Rest,9663.89385775,713.301748818693
1,B,,261,1,Zürich,2019,Ueberbaut,30152.15776622,863.58062914658
1,B,,261,1,Zürich,2019,Ueberbaut,28575.9617852,783.915761991908
1,B,,261,1,Zürich,2019,Ueberbaut,5871.49477394,389.015638528856
1,B,,261,1,Zürich,2019,Ueberbaut,36771.14998418,1200.5253320477
1,B,,261,1,Zürich,2019,Ueberbaut,51511.39428574,1085.73879888072
1,B,,261,1,Zürich,2019,Ueberbaut,7113.45511787,390.627004569265
1,B,,261,1,Zürich,2019,Ueberbaut,22798.65132956,725.272741530281
1,TR,,261,11,Zürich,2019,Technischer Rest,2197.9310642,280.98618774782
1,S,,261,2,Zürich,2019,Sofort baureif,22847.69057467,1349.03898275366
1,B,,261,1,Zürich,2019,Ueberbaut,3868.3026486,367.698067235623
1,TR,,261,11,Zürich,2019,Technischer Rest,7734.84525292,369.154884523088
1,B,,261,1,Zürich,2019,Ueberbaut,8963.48723394,464.217512397275
1,S,,261,2,Zürich,2019,Sofort baureif,619.716786685,112.911907229193
1,B,,261,1,Zürich,2019,Ueberbaut,15963.832065,527.677358851701
